Rank,Year,Movie,Worldwide Gross Sales,Images,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
39,2016,Zootopia,"$1,036,368,248",[url=https://imgur.com/WJNFkUL][img]http://i.imgur.com/WJNFkUL.png[/img][/url],,,,,,,,,
40,2017,Despicable Me 3,"$1,034,724,710",[url=https://imgur.com/8ygwP7j][img]http://i.imgur.com/8ygwP7j.png[/img][/url],,,,,,,,,
41,2016,Finding Dory,"$1,028,570,889",[url=https://imgur.com/0KwopkX][img]http://i.imgur.com/0KwopkX.png[/img][/url],,,,,,,,,
42,1999,Star Wars Ep. I: The Phantom Menace,"$1,027,044,677",[url=https://imgur.com/85UiUMI][img]http://i.imgur.com/85UiUMI.png[/img][/url],,,,,,,,,
43,2010,Alice in Wonderland,"$1,025,491,110",[url=https://imgur.com/wKIy55M][img]http://i.imgur.com/wKIy55M.png[/img][/url],,,,,,,,,
44,2012,The Hobbit: An Unexpected Journey,"$1,017,003,568",[url=https://imgur.com/GRi6Ns8][img]http://i.imgur.com/GRi6Ns8.png[/img][/url],,,,,,,,,
45,2008,The Dark Knight,"$1,001,996,207",[url=https://imgur.com/1ql8b7P][img]http://i.imgur.com/1ql8b7P.png[/img][/url],,,,,,,,,
46,1994,The Lion King,"$986,214,868",[url=https://imgur.com/TGoyelQ][img]http://i.imgur.com/TGoyelQ.png[/img][/url],,,,,,,,,
47,2013,Despicable Me 2,"$975,216,835",[url=https://imgur.com/4i1tHOz][img]http://i.imgur.com/4i1tHOz.png[/img][/url],,,,,,,,,
48,2001,Harry Potter and the Sorcerer’s Stone,"$975,047,606",[url=https://imgur.com/htiSpcj][img]http://i.imgur.com/htiSpcj.png[/img][/url],,,,,,,,,
49,2017,Jumanji: Welcome to the Jungle,"$964,496,193",[url=https://imgur.com/jVrRTXS][img]http://i.imgur.com/jVrRTXS.png[/img][/url],,,,,,,,,
50,2007,Pirates of the Caribbean: At World’s …,"$963,420,425",[url=https://imgur.com/qdCg7nT][img]http://i.imgur.com/qdCg7nT.png[/img][/url],,,,,,,,,
51,2016,The Jungle Book,"$962,854,547",[url=https://imgur.com/VRPLV4D][img]http://i.imgur.com/VRPLV4D.png[/img][/url],,,,,,,,,
52,2010,Harry Potter and the Deathly Hallows:…,"$960,431,568",[url=https://imgur.com/cF4YfCv][img]http://i.imgur.com/cF4YfCv.png[/img][/url],,,,,,,,,
53,2013,The Hobbit: The Desolation of Smaug,"$960,241,522",[url=https://imgur.com/jDft20r][img]http://i.imgur.com/jDft20r.png[/img][/url],,,,,,,,,
54,2019,Star Wars: The Rise of Skywalker,"$945,945,094",[url=https://imgur.com/aXW7ZSt][img]http://i.imgur.com/aXW7ZSt.png[/img][/url],,,,,,,,,
55,2014,The Hobbit: The Battle of the Five Ar…,"$945,577,621",[url=https://imgur.com/ZyULZ5m][img]http://i.imgur.com/ZyULZ5m.png[/img][/url],,,,,,,,,
56,2007,Harry Potter and the Order of the Pho…,"$943,076,457",https://i.imgur.com/N5nB09M.png,,,,,,,,,
57,2004,Shrek 2,"$937,008,132",,,,,,,,,,
58,2003,Finding Nemo,"$936,429,370",,,,,,,,,,
59,2009,Harry Potter and the Half-Blood Prince,"$935,213,767",,,,,,,,,,
60,2002,The Lord of the Rings: The Two Towers,"$927,598,249",,,,,,,,,,
61,2018,Bohemian Rhapsody,"$903,526,372",,,,,,,,,,
62,2005,Harry Potter and the Goblet of Fire,"$897,099,794",,,,,,,,,,
63,2007,Spider-Man 3,"$894,860,230",,,,,,,,,,
64,2001,The Lord of the Rings: The Fellowship…,"$887,210,985",,,,,,,,,,
65,2016,The Secret Life of Pets,"$886,606,412",,,,,,,,,,
66,2017,Spider-Man: Homecoming,"$880,166,350",,,,,,,,,,
67,2012,Ice Age: Continental Drift,"$879,765,137",,,,,,,,,,
68,2015,Spectre,"$879,620,923",,,,,,,,,,
69,2002,Harry Potter and the Chamber of Secrets,"$879,225,135",,,,,,,,,,
70,2016,Batman v Superman: Dawn of Justice,"$873,634,919",,,,,,,,,,
71,2017,Guardians of the Galaxy Vol 2,"$869,113,101",,,,,,,,,,
72,2013,The Hunger Games: Catching Fire,"$864,868,047",,,,,,,,,,
73,2009,Ice Age: Dawn of the Dinosaurs,"$859,701,857",,,,,,,,,,
74,2017,Zhan Lang 2,"$858,603,067",,,,,,,,,,
75,2015,Inside Out,"$857,561,711",,,,,,,,,,
76,2017,Thor: Ragnarok,"$853,958,289",,,,,,,,,,
77,2018,Venom,"$853,628,605",,,,,,,,,,
78,2005,Star Wars Ep. III: Revenge of the Sith,"$848,998,877",,,,,,,,,,
79,2009,Transformers: Revenge of the Fallen,"$836,519,699",,,,,,,,,,
80,2010,Inception,"$835,524,642",,,,,,,,,,
81,2012,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737",,,,,,,,,,
82,2002,Spider-Man,"$825,677,927",,,,,,,,,,
83,2017,Wonder Woman,"$821,133,378",,,,,,,,,,
84,1996,Independence Day,"$817,400,878",,,,,,,,,,
85,2007,Shrek the Third,"$807,330,936",,,,,,,,,,
86,2017,Coco,"$807,126,015",,,,,,,,,,
87,2016,Fantastic Beasts and Where to Find Them,"$802,402,853",,,,,,,,,,
88,2016,Deadpool,"$801,025,593",,,,,,,,,,
89,2004,Harry Potter and the Prisoner of Azkaban,"$796,907,323",,,,,,,,,,
90,2004,Spider-Man 2,"$795,110,670",,,,,,,,,,
91,1982,ET: The Extra-Terrestrial,"$792,965,326",,,,,,,,,,
92,2013,Fast and Furious 6,"$789,300,444",,,,,,,,,,
93,2017,Pirates of the Caribbean: Dead Men Te…,"$788,241,137",,,,,,,,,,
94,2018,Mission: Impossible—Fallout,"$787,456,552",,,,,,,,,,
95,2018,Deadpool 2,"$786,680,557",,,,,,,,,,
96,2008,Indiana Jones and the Kingdom of the …,"$786,635,413",,,,,,,,,,
97,1977,Star Wars Ep. IV: A New Hope,"$775,398,007",,,,,,,,,,
98,2014,Guardians of the Galaxy,"$772,772,112",,,,,,,,,,
99,2006,The Da Vinci Code,"$767,820,459",,,,,,,,,,
100,2014,The Hunger Games: Mockingjay - Part 1,"$766,575,131",,,,,,,,,,
